School_ID,School_Name,Status as of 2019,Graduates_2018,Enrollments_2018,Enrollment_Pct_2018,Graduates_2017,Enrollments_2017,Enrollment_Pct_2017,Num_Enrollments_Persisting_2017,Persistence_Pct_2017,Graduates_2016,Enrollments_2016,Enrollment_Pct_2016,Num_Enrollments Persisting_2016,Persistence_Pct_2016,Graduates_2015,Enrollments_2015,Enrollment_Pct_2015,Num_Enrollments_Persisting_2015,Persistence_Pct_2015,Graduates_2014,Enrollments_2014,Enrollment_Pct_2014,Num_Enrollments_Persisting_2014,Persistence_Pct_2014,Graduates_2013,Enrollments_2013,Enrollment_Pct_2013,Num_Enrollments Persisting_2013,Persistence_Pct_2013,Graduates_2012,Enrollments_2012,Enrollment_Pct_2012,Num_Enrollments_Persisting_2012,Persistence_Pct_2012,Graduates_2011,Enrollments_2011,Enrollment_Pct_2011,Num_Enrollments_Persisting_2011,Persistence_Pct_2011,Graduates_2010,Enrollments_2010,Enrollment_Pct_2010,Num_Enrollments_Persisting_2010,Persistence_Pct_2010
610380,WILLIAMS HS,,58,46,79.3,36,31,86.1,18,58.1,62,48,77.4,34,70.8,79,59,74.7,44,74.6,71,59,83.1,45,76.3,44,33,75.0,25,75.8,71,49,69.0,37,75.5,55,42,76.4,33,78.6,,,,,
610381,BRONZEVILLE HS,,85,59,69.4,84,57,67.9,32,56.1,82,44,53.7,20,45.5,110,72,65.5,37,51.4,118,76,64.4,48,63.2,113,76,67.3,52,68.4,123,83,67.5,59,71.1,118,86,72.9,65,75.6,114,82,71.9,57,69.5
610383,SOCIAL JUSTICE HS,,51,29,56.9,70,50,71.4,29,58.0,63,32,50.8,19,59.4,76,43,56.6,26,60.5,78,45,57.7,32,71.1,71,44,62.0,31,70.5,59,32,54.2,24,75.0,69,32,46.4,18,56.3,68,39,57.4,28,71.8
610384,INFINITY HS,,94,69,73.4,79,63,79.7,47,74.6,103,68,66.0,52,76.5,94,55,58.5,32,58.2,99,53,53.5,38,71.7,81,42,51.9,30,71.4,66,35,53.0,19,54.3,70,43,61.4,23,53.5,72,38,52.8,27,71.1
610385,MULTICULTURAL HS,,44,27,61.4,56,35,62.5,19,54.3,53,27,50.9,20,74.1,61,25,41.0,17,68.0,64,30,46.9,19,63.3,65,24,36.9,18,75.0,53,24,45.3,18,75.0,43,21,48.8,9,42.9,55,29,52.7,20,69.0
610386,PEACE AND EDUCATION HS,,38,7,18.4,49,12,24.5,3,25.0,45,8,17.8,*,*,63,17,27.0,9,52.9,60,11,18.3,6,54.5,52,15,28.8,4,26.7,63,13,20.6,5,38.5,64,11,17.2,2,18.2,48,5,10.4,*,*
610389,ORR HS,,60,23,38.3,78,44,56.4,18,40.9,62,30,48.4,14,46.7,75,34,45.3,12,35.3,116,51,44.0,23,45.1,102,50,49.0,20,40.0,147,79,53.7,33,41.8,172,67,39.0,32,47.8,188,93,49.5,56,60.2
610390,RICKOVER MILITARY HS,,164,112,68.3,102,77,75.5,56,72.7,131,82,62.6,61,74.4,90,57,63.3,35,61.4,112,76,67.9,51,67.1,79,51,64.6,42,82.4,70,41,58.6,28,68.3,78,51,65.4,40,78.4,52,32,61.5,20,62.5
610391,LINDBLOM HS,,245,219,89.4,205,194,94.6,170,87.6,199,175,87.9,157,89.7,183,153,83.6,135,88.2,192,169,88.0,154,91.1,124,101,81.5,92,91.1,121,102,84.3,95,93.1,162,136,84.0,123,90.4,85,73,85.9,60,82.2
610392,WORLD LANGUAGE HS,,59,47,79.7,74,57,77,39,68.4,89,52,58.4,37,71.2,64,37,57.8,20,54.1,78,36,46.2,22,61.1,86,43,50.0,33,76.7,78,40,51.3,27,67.5,52,28,53.8,14,50.0,57,28,49.1,24,85.7
